Unique_ID,CloneLine,GS,boxID,age,tray,WID,D_DAY,corr_last_frame_present,died,N_OV,diedBCphase,EYES,coVDBF,H,DTA,DBF,RMSD,
B16_4OB,B,16,B16_4,1,NA,OB,NA,lastframe,0,NA,0,NA,0.97,5.57,16.85,8.53,14.52,
B16_4OG,B,16,B16_4,1,NA,OG,NA,lastframe,0,NA,0,NA,0.91,5.51,17.26,8.95,14.16,
B16_4OO,B,16,B16_4,1,NA,OO,NA,lastframe,0,NA,0,NA,0.90,5.61,17.37,10.34,15.06,
B16_4OP,B,16,B16_4,1,NA,OP,NA,lastframe,0,NA,0,NA,0.94,5.72,17.83,10.71,16.17,
B16_4PB,B,16,B16_4,1,NA,PB,NA,lastframe,0,NA,0,NA,0.89,5.67,18.61,11.77,16.44,
B16_4PG,B,16,B16_4,1,NA,PG,NA,lastframe,0,NA,0,NA,0.98,5.46,16.86,8.92,14.00,
B16_4PO,B,16,B16_4,1,NA,PO,NA,lastframe,0,NA,0,NA,0.87,5.62,18.04,10.35,15.85,
B16_4PP,B,16,B16_4,1,NA,PP,NA,lastframe,0,NA,0,NA,0.93,5.52,17.29,10.37,14.50,
B16_5BB,B,16,B16_5,1,NA,BB,NA,lastframe,0,NA,0,NA,0.98,5.60,17.65,10.10,15.12,
B16_5BG,B,16,B16_5,1,NA,BG,NA,lastframe,0,NA,0,NA,0.99,5.31,16.38,8.03,12.97,
B16_5BO,B,16,B16_5,1,NA,BO,NA,lastframe,0,NA,0,NA,1.01,5.44,17.18,8.86,14.44,
B16_5BP,B,16,B16_5,1,NA,BP,NA,lastframe,0,NA,0,NA,0.98,5.57,17.75,9.20,15.20,
B16_5GB,B,16,B16_5,1,NA,GB,NA,lastframe,0,NA,0,NA,0.95,5.43,16.42,8.34,13.15,
B16_5GG,B,16,B16_5,1,NA,GG,NA,lastframe,0,NA,0,NA,1.05,5.35,16.32,8.23,13.37,
B16_5GO,B,16,B16_5,1,NA,GO,NA,lastframe,0,NA,0,NA,0.92,5.58,18.14,10.53,15.86,
B16_5GP,B,16,B16_5,1,NA,GP,NA,lastframe,0,NA,0,NA,0.98,5.53,17.23,8.52,14.37,
B16_5OB,B,16,B16_5,1,NA,OB,NA,lastframe,0,NA,0,NA,0.97,5.23,16.72,9.02,13.90,
B16_5OG,B,16,B16_5,1,NA,OG,NA,lastframe,0,NA,0,NA,0.92,5.52,17.19,10.00,14.53,
B16_5OO,B,16,B16_5,1,NA,OO,NA,lastframe,0,NA,0,NA,0.96,5.16,15.79,8.10,12.60,
B16_5OP,B,16,B16_5,1,NA,OP,NA,lastframe,0,NA,0,NA,1.00,5.42,17.72,9.80,15.03,
B16_5PB,B,16,B16_5,1,NA,PB,NA,lastframe,0,NA,0,NA,0.89,5.63,17.78,10.01,15.19,
B16_5PG,B,16,B16_5,1,NA,PG,NA,lastframe,0,NA,0,NA,0.99,5.57,17.45,9.23,14.70,
B16_5PO,B,16,B16_5,1,NA,PO,NA,lastframe,0,NA,0,NA,0.86,5.63,18.22,10.79,15.55,
B16_5PP,B,16,B16_5,1,NA,PP,NA,lastframe,0,NA,0,NA,0.91,5.75,18.57,10.31,16.40,
B16_6BB,B,16,B16_6,1,NA,BB,NA,lastframe,0,NA,0,NA,0.97,5.48,16.85,10.39,15.49,
B16_6BG,B,16,B16_6,1,NA,BG,NA,lastframe,0,NA,0,NA,0.95,5.49,17.27,10.86,15.47,
B16_6BO,B,16,B16_6,1,NA,BO,NA,lastframe,0,NA,0,NA,0.96,5.51,17.90,11.60,15.74,
B16_6BP,B,16,B16_6,1,NA,BP,NA,lastframe,0,NA,0,NA,1.01,5.41,16.74,10.31,15.09,
B16_6GB,B,16,B16_6,1,NA,GB,NA,lastframe,0,NA,0,NA,1.06,5.21,15.89,8.98,13.85,
B16_6GG,B,16,B16_6,1,NA,GG,NA,lastframe,0,NA,0,NA,1.00,5.27,15.91,9.05,14.04,
B16_6GO,B,16,B16_6,1,NA,GO,NA,lastframe,0,NA,0,NA,0.98,5.30,16.77,9.76,14.69,
B16_6GP,B,16,B16_6,1,NA,GP,NA,lastframe,0,NA,0,NA,1.03,5.22,16.31,9.06,14.46,
B16_6OB,B,16,B16_6,1,NA,OB,NA,lastframe,0,NA,0,NA,1.01,5.23,16.53,10.24,14.76,
B16_6OG,B,16,B16_6,1,NA,OG,NA,lastframe,0,NA,0,NA,1.00,5.38,16.71,9.81,14.81,
B16_6OO,B,16,B16_6,1,NA,OO,NA,lastframe,0,NA,0,NA,1.03,5.19,16.03,9.49,14.16,
B16_6OP,B,16,B16_6,1,NA,OP,NA,lastframe,0,NA,0,NA,0.97,5.43,17.14,10.63,15.41,
B16_6PB,B,16,B16_6,1,NA,PB,NA,lastframe,0,NA,0,NA,1.02,5.34,16.54,10.06,14.90,
